customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract,payment_method,internet_service,online_security,tech_support,paperless_billing,monthly_charges,total_charges,churn
CUST-10060,Male,0,Yes,Yes,17,Two year,Credit card,DSL,No,No,Yes,115.8,1865.19,No
CUST-10061,Male,0,Yes,No,18,Month-to-month,Credit card,DSL,No internet service,No internet service,No,62.23,1036.53,Yes
CUST-10062,Male,0,No,No,5,Month-to-month,Mailed check,DSL,No,Yes,Yes,67.26,342.5,Yes
CUST-10063,Male,0,Yes,No,6,Two year,Bank transfer,No,Yes,Yes,Yes,44.75,271.73,No
CUST-10064,Male,0,No,No,56,Month-to-month,Electronic check,DSL,No internet service,No,Yes,42.6,2411.3,Yes
CUST-10065,Female,0,No,No,44,Month-to-month,Electronic check,DSL,Yes,No,Yes,33.9,1380.02,No
CUST-10066,Female,0,No,No,0,Month-to-month,Credit card,DSL,No,No,Yes,39.88,20.0,No
CUST-10067,Male,1,Yes,No,48,One year,Mailed check,Fiber optic,No internet service,No,Yes,78.53,3725.13,No
CUST-10068,Female,1,Yes,No,0,Month-to-month,Electronic check,No,No internet service,Yes,Yes,114.85,20.0,Yes
CUST-10069,Female,0,No,No,14,Month-to-month,Credit card,No,No,No,No,93.68,1292.51,No
CUST-10070,Female,0,No,Yes,1,Month-to-month,Electronic check,DSL,Yes,No internet service,Yes,63.26,79.6,No
CUST-10071,Female,0,No,No,72,Month-to-month,Mailed check,DSL,No,Yes,Yes,58.13,4099.82,No
CUST-10072,Male,0,No,No,72,Month-to-month,Electronic check,Fiber optic,No,No,No,120.0,8234.43,No
CUST-10073,Female,1,No,No,22,One year,Mailed check,DSL,No internet service,No internet service,Yes,74.09,1559.41,No
CUST-10074,Male,0,No,Yes,11,One year,Mailed check,No,No internet service,No,Yes,50.52,557.42,No
CUST-10075,Female,1,Yes,No,17,One year,Bank transfer,DSL,No internet service,No,Yes,88.37,1510.43,No
CUST-10076,Female,1,Yes,No,34,Month-to-month,Credit card,Fiber optic,No internet service,Yes,Yes,73.22,2476.61,No
CUST-10077,Female,0,No,No,6,Month-to-month,Mailed check,DSL,No,No internet service,No,84.42,484.09,Yes
CUST-10078,Male,0,Yes,No,13,One year,Electronic check,No,No,Yes,Yes,114.87,1412.87,Yes
CUST-10079,Female,0,No,No,32,One year,Credit card,DSL,No,No,Yes,33.74,992.85,No
CUST-10080,Male,1,Yes,No,12,Two year,Bank transfer,DSL,Yes,Yes,Yes,31.12,380.64,No
CUST-10081,Female,0,No,Yes,0,Month-to-month,Mailed check,Fiber optic,No,No,Yes,84.06,20.0,No
CUST-10082,Male,1,Yes,Yes,16,Month-to-month,Electronic check,DSL,No,No internet service,No,79.77,1248.0,Yes
CUST-10083,Female,0,Yes,Yes,32,One year,Electronic check,DSL,Yes,No,No,34.65,1184.13,No
CUST-10084,Male,0,No,Yes,72,Two year,Mailed check,DSL,No,Yes,Yes,115.44,8436.0,No
CUST-10085,Male,1,Yes,No,0,Two year,Mailed check,No,Yes,No internet service,No,79.54,20.0,No
CUST-10086,Female,0,Yes,No,18,Two year,Electronic check,DSL,No,No,No,44.32,854.44,Yes
CUST-10087,Male,0,Yes,No,14,Two year,Electronic check,DSL,No,No internet service,No,59.88,855.05,No
CUST-10088,Female,0,No,No,6,One year,Electronic check,No,Yes,No,No,18.0,132.09,No
CUST-10089,Female,0,No,No,24,Month-to-month,Electronic check,No,No internet service,No,Yes,74.37,1649.78,No
CUST-10090,Female,0,No,No,4,One year,Electronic check,Fiber optic,No,No,No,29.05,134.3,No
CUST-10091,Female,0,Yes,No,8,Month-to-month,Mailed check,Fiber optic,No,No,Yes,54.75,473.89,No
CUST-10092,Female,1,No,Yes,36,Month-to-month,Credit card,No,Yes,No,No,62.8,2275.42,Yes
CUST-10093,Female,1,Yes,No,14,One year,Bank transfer,DSL,No,No,No,120.0,1781.03,No
CUST-10094,Female,0,No,Yes,72,One year,Bank transfer,Fiber optic,No,Yes,Yes,106.26,8048.38,No
CUST-10095,Female,0,No,No,11,One year,Electronic check,DSL,Yes,No,No,18.0,221.72,Yes
CUST-10096,Female,0,No,No,14,Month-to-month,Electronic check,DSL,No,No internet service,Yes,39.14,536.08,No
CUST-10097,Female,0,No,No,8,Month-to-month,Mailed check,DSL,No,No,Yes,75.48,640.77,Yes
CUST-10098,Female,1,No,Yes,6,Two year,Mailed check,Fiber optic,No,No internet service,Yes,65.24,413.6,No
CUST-10099,Male,0,No,No,61,One year,Credit card,No,No,Yes,No,101.54,5693.35,No
CUST-10100,Male,0,Yes,No,33,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,Yes,34.73,1118.13,Yes
CUST-10101,Female,0,No,Yes,9,One year,Bank transfer,Fiber optic,No,No internet service,No,59.78,574.79,No
CUST-10102,Female,0,Yes,Yes,28,Two year,Mailed check,Fiber optic,No internet service,No internet service,Yes,40.38,1157.61,No
CUST-10103,Female,0,Yes,No,72,Month-to-month,Credit card,Fiber optic,No,No,Yes,70.04,4881.86,No
CUST-10104,Female,0,Yes,Yes,1,Month-to-month,Mailed check,Fiber optic,Yes,No internet service,Yes,52.77,72.35,Yes
CUST-10105,Female,0,Yes,No,7,Month-to-month,Credit card,Fiber optic,Yes,No internet service,No,87.65,658.41,No
CUST-10106,Female,0,Yes,No,5,Month-to-month,Mailed check,DSL,Yes,No internet service,Yes,48.95,262.22,No
CUST-10107,Female,0,No,No,48,Month-to-month,Mailed check,Fiber optic,No,No,Yes,43.88,1987.55,Yes
CUST-10108,Female,0,Yes,Yes,4,Month-to-month,Credit card,DSL,No,No internet service,No,120.0,500.19,No
CUST-10109,Male,0,Yes,No,8,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,105.94,816.61,No
CUST-10110,Female,0,No,No,18,Month-to-month,Credit card,No,No,No,Yes,98.68,1783.54,No
CUST-10111,Male,0,Yes,Yes,23,Month-to-month,Electronic check,DSL,No,No,Yes,46.13,1077.47,No
CUST-10112,Female,0,No,Yes,39,Two year,Electronic check,DSL,No,Yes,Yes,33.91,1281.96,No
CUST-10113,Female,0,No,Yes,12,One year,Mailed check,No,No,No,Yes,18.0,238.4,No
CUST-10114,Male,0,No,No,18,Month-to-month,Bank transfer,No,No,No,Yes,73.93,1276.13,Yes
CUST-10115,Female,1,No,No,72,Month-to-month,Bank transfer,DSL,No,No internet service,No,84.32,5497.34,No
CUST-10116,Male,1,Yes,Yes,8,Month-to-month,Electronic check,DSL,No internet service,No,No,38.61,314.24,No
CUST-10117,Female,0,Yes,No,6,One year,Bank transfer,DSL,No,No,No,77.82,500.62,No
CUST-10118,Female,1,Yes,No,29,One year,Electronic check,Fiber optic,No,No,Yes,18.0,534.97,Yes
CUST-10119,Male,0,No,No,35,Two year,Credit card,No,No,No,Yes,120.0,4335.1,No
CUST-10120,Female,0,Yes,No,12,One year,Electronic check,DSL,No,No,Yes,34.84,404.34,No
CUST-10121,Male,0,Yes,Yes,5,Two year,Electronic check,Fiber optic,No internet service,No internet service,Yes,37.14,192.51,Yes
CUST-10122,Female,0,Yes,Yes,36,Month-to-month,Electronic check,No,No,No,Yes,41.52,1402.16,Yes
CUST-10123,Male,0,No,No,26,Two year,Credit card,Fiber optic,No,No,Yes,95.54,2548.18,No
CUST-10124,Male,0,Yes,Yes,50,One year,Mailed check,DSL,No,No internet service,Yes,87.84,4376.11,No
CUST-10125,Female,0,No,No,44,Month-to-month,Mailed check,No,Yes,No,Yes,70.04,2949.09,Yes
CUST-10126,Female,0,Yes,No,5,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,120.0,630.26,Yes
CUST-10127,Male,0,Yes,No,42,Month-to-month,Credit card,DSL,No,Yes,Yes,74.93,3057.88,Yes
CUST-10128,Female,1,Yes,No,4,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,No,76.32,322.94,No
CUST-10129,Female,0,No,No,47,One year,Electronic check,No,No internet service,No,No,84.22,4089.99,No
CUST-10130,Female,0,No,No,35,Two year,Bank transfer,DSL,No,Yes,No,50.22,1714.05,No
CUST-10131,Male,0,Yes,No,20,Month-to-month,Mailed check,DSL,No,Yes,No,18.0,384.62,No
CUST-10132,Male,0,Yes,No,24,Month-to-month,Electronic check,DSL,Yes,No,No,55.94,1342.22,Yes
CUST-10133,Male,0,No,No,2,Two year,Mailed check,No,No,No internet service,Yes,18.0,57.3,No
CUST-10134,Male,0,Yes,No,0,Month-to-month,Mailed check,DSL,No,Yes,Yes,92.93,20.0,No
CUST-10135,Male,0,Yes,Yes,9,Month-to-month,Bank transfer,DSL,No,No,No,74.76,655.7,No
CUST-10136,Male,0,Yes,Yes,41,Month-to-month,Credit card,DSL,No,No internet service,No,38.29,1496.34,No
CUST-10137,Male,0,Yes,No,15,Two year,Mailed check,No,No,No,Yes,53.51,765.36,No
CUST-10138,Male,0,Yes,No,6,Two year,Mailed check,DSL,No,No,Yes,79.76,476.3,No
CUST-10139,Male,0,Yes,No,43,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,Yes,83.09,3468.33,No
CUST-10140,Female,0,Yes,No,6,Month-to-month,Credit card,DSL,No,No,Yes,71.89,416.98,No
CUST-10141,Male,0,No,Yes,40,Month-to-month,Electronic check,No,No internet service,No internet service,No,18.0,747.46,No
CUST-10142,Female,0,Yes,No,14,Month-to-month,Credit card,Fiber optic,No,No internet service,Yes,18.0,282.25,Yes
CUST-10143,Female,1,No,No,14,One year,Mailed check,DSL,No,Yes,No,53.32,737.95,No
CUST-10144,Female,1,Yes,No,7,Month-to-month,Electronic check,DSL,No,No,No,85.33,640.47,Yes
CUST-10145,Male,1,No,No,55,Month-to-month,Electronic check,DSL,No,No internet service,Yes,53.9,2875.7,No
CUST-10146,Male,0,Yes,No,2,One year,Credit card,Fiber optic,No,No,Yes,94.42,196.19,No
CUST-10147,Male,0,No,No,3,Month-to-month,Credit card,No,No internet service,No,Yes,115.05,375.11,Yes
CUST-10148,Male,0,Yes,No,24,Two year,Credit card,DSL,No,No internet service,Yes,46.33,1171.09,No
CUST-10149,Female,0,No,No,45,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,18.71,858.42,No
CUST-10150,Male,0,Yes,No,2,Month-to-month,Electronic check,DSL,No,No,Yes,94.86,217.0,Yes
CUST-10151,Male,0,Yes,Yes,31,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,120.0,3562.58,No
CUST-10152,Male,1,No,No,32,Month-to-month,Electronic check,DSL,Yes,No,No,64.41,1973.55,No
CUST-10153,Male,0,No,No,20,Month-to-month,Bank transfer,DSL,No internet service,No,No,45.03,946.03,No
CUST-10154,Male,1,Yes,No,16,Month-to-month,Mailed check,DSL,Yes,No internet service,Yes,103.97,1587.24,No
CUST-10155,Female,0,No,No,9,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,79.97,761.27,No
CUST-10156,Male,0,Yes,No,10,Two year,Electronic check,DSL,Yes,Yes,Yes,69.61,671.38,No
CUST-10157,Female,0,Yes,No,26,Month-to-month,Bank transfer,No,No,No,Yes,59.73,1579.57,No
CUST-10158,Male,0,No,No,1,Month-to-month,Credit card,No,No,No,No,64.96,86.44,No
CUST-10159,Female,0,Yes,No,21,Two year,Bank transfer,No,No,No,Yes,37.79,837.57,No
CUST-10160,Male,0,No,Yes,7,Month-to-month,Credit card,No,Yes,Yes,No,120.0,897.6,No
CUST-10161,Male,0,Yes,No,15,Two year,Mailed check,No,No,No,Yes,44.72,653.95,No
CUST-10162,Female,0,No,Yes,19,Month-to-month,Electronic check,DSL,No,No,Yes,18.0,355.72,No
CUST-10163,Female,1,No,Yes,52,Month-to-month,Credit card,DSL,Yes,No,Yes,62.26,3398.26,No
CUST-10164,Female,0,No,No,20,Month-to-month,Electronic check,Fiber optic,No,No internet service,Yes,79.49,1453.27,No
CUST-10165,Male,1,No,No,6,Month-to-month,Electronic check,Fiber optic,No,No,Yes,114.59,702.24,No
CUST-10166,Female,0,Yes,Yes,1,Month-to-month,Electronic check,No,No,Yes,Yes,51.72,67.71,Yes
CUST-10167,Male,0,No,No,23,Month-to-month,Bank transfer,DSL,No internet service,No,Yes,25.78,592.8,Yes
CUST-10168,Male,0,Yes,No,18,One year,Bank transfer,Fiber optic,No,No,No,101.46,1686.68,No
CUST-10169,Female,0,No,Yes,26,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,Yes,42.5,1070.26,No
CUST-10170,Female,0,No,No,14,Month-to-month,Credit card,No,Yes,Yes,No,82.16,1174.55,No
CUST-10171,Male,0,No,No,41,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,33.49,1422.95,No
CUST-10172,Male,0,No,No,60,Month-to-month,Electronic check,DSL,No,Yes,No,36.94,2201.36,No
CUST-10173,Female,0,Yes,No,0,Month-to-month,Bank transfer,DSL,Yes,No,No,52.06,20.0,No
CUST-10174,Female,0,No,No,32,Month-to-month,Credit card,No,No,Yes,No,27.37,853.26,Yes
CUST-10175,Female,0,Yes,No,0,Two year,Mailed check,No,Yes,Yes,Yes,18.0,20.0,No
CUST-10176,Male,0,No,No,14,Month-to-month,Electronic check,No,No,No,Yes,46.91,630.53,No
CUST-10177,Male,0,Yes,No,14,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,No,66.48,953.16,No
CUST-10178,Male,0,No,No,28,Month-to-month,Credit card,DSL,Yes,Yes,Yes,120.0,3114.96,No
CUST-10179,Male,0,Yes,No,10,Month-to-month,Mailed check,Fiber optic,No,No,No,72.64,771.79,Yes
CUST-10180,Male,0,No,Yes,41,One year,Bank transfer,No,No,No,Yes,67.51,2629.6,No
CUST-10181,Male,0,Yes,Yes,10,Month-to-month,Bank transfer,DSL,No,No internet service,Yes,69.93,688.32,No
CUST-10182,Female,0,No,No,10,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,78.13,744.64,No
CUST-10183,Male,0,Yes,No,6,Month-to-month,Electronic check,Fiber optic,No,No,No,64.32,421.4,Yes
CUST-10184,Male,0,No,Yes,27,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,98.16,2758.2,No
CUST-10185,Male,0,Yes,No,1,Month-to-month,Electronic check,Fiber optic,No,No,No,74.74,92.57,Yes
CUST-10186,Female,1,No,Yes,10,One year,Electronic check,Fiber optic,No internet service,Yes,No,60.58,567.96,No
CUST-10187,Male,0,Yes,Yes,7,Month-to-month,Electronic check,DSL,No,No internet service,Yes,37.16,289.4,Yes
CUST-10188,Male,0,No,Yes,6,Month-to-month,Bank transfer,DSL,No internet service,No,Yes,78.9,514.42,Yes
CUST-10189,Female,0,Yes,No,1,One year,Electronic check,No,No internet service,Yes,Yes,100.42,111.43,Yes
CUST-10190,Male,0,No,No,5,Month-to-month,Mailed check,No,Yes,No,Yes,88.16,456.97,No
CUST-10191,Male,0,Yes,Yes,14,Month-to-month,Electronic check,DSL,No,No,Yes,50.24,753.87,No
CUST-10192,Male,0,Yes,No,16,Month-to-month,Mailed check,DSL,No internet service,Yes,Yes,65.38,1070.76,No
CUST-10193,Male,0,No,Yes,7,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,117.11,821.27,Yes
CUST-10194,Male,0,Yes,No,25,Month-to-month,Electronic check,Fiber optic,No internet service,Yes,No,95.76,2297.43,Yes
CUST-10195,Female,0,Yes,Yes,9,Month-to-month,Mailed check,DSL,No,Yes,Yes,81.59,762.39,No
CUST-10196,Female,0,No,No,10,Month-to-month,Bank transfer,Fiber optic,No,No,No,45.92,501.31,Yes
CUST-10197,Female,1,No,No,36,Month-to-month,Mailed check,Fiber optic,Yes,No internet service,No,78.97,2851.22,No
CUST-10198,Male,0,No,No,19,One year,Electronic check,DSL,No,No internet service,No,118.11,2209.59,Yes
CUST-10199,Male,1,Yes,Yes,72,Month-to-month,Bank transfer,No,No,No internet service,Yes,68.66,4593.65,No
CUST-10200,Male,0,Yes,Yes,10,Month-to-month,Electronic check,DSL,No,No,Yes,18.0,205.25,No
CUST-10201,Female,1,No,No,42,One year,Mailed check,DSL,No,No,No,120.0,4846.15,No
CUST-10202,Male,1,Yes,No,32,Month-to-month,Electronic check,Fiber optic,No,No,Yes,93.46,3056.8,No
CUST-10203,Male,0,No,No,53,Two year,Mailed check,Fiber optic,No,No internet service,No,41.99,2139.02,Yes
CUST-10204,Female,0,Yes,No,72,Two year,Bank transfer,No,Yes,No,No,60.45,4016.05,No
CUST-10205,Male,0,No,No,0,One year,Credit card,DSL,No internet service,Yes,Yes,58.04,20.0,No
CUST-10206,Female,0,No,No,2,Month-to-month,Credit card,DSL,No,No internet service,No,52.86,123.8,Yes
CUST-10207,Female,0,No,No,26,One year,Mailed check,DSL,Yes,No,No,62.62,1522.13,Yes
CUST-10208,Female,0,Yes,Yes,11,One year,Credit card,DSL,No,No,Yes,88.38,1015.93,No
CUST-10209,Male,0,No,No,41,One year,Bank transfer,Fiber optic,No internet service,Yes,Yes,114.1,4442.6,No
CUST-10210,Male,0,Yes,No,0,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,45.25,20.0,Yes
CUST-10211,Male,1,No,No,39,One year,Credit card,Fiber optic,Yes,Yes,No,91.74,3506.65,No
CUST-10212,Male,0,No,Yes,3,One year,Bank transfer,No,No,No internet service,Yes,40.02,132.49,No
CUST-10213,Male,0,Yes,No,8,Month-to-month,Mailed check,Fiber optic,No,No internet service,No,100.6,804.93,No
CUST-10214,Male,0,Yes,No,72,One year,Electronic check,Fiber optic,No,Yes,No,75.93,4995.84,No
CUST-10215,Male,1,No,No,1,Month-to-month,Bank transfer,DSL,No,No,No,63.7,79.12,Yes
CUST-10216,Female,0,Yes,Yes,10,One year,Electronic check,Fiber optic,No internet service,No internet service,Yes,56.97,556.29,Yes
CUST-10217,Male,0,No,No,2,One year,Electronic check,Fiber optic,Yes,No,No,99.14,209.14,Yes
CUST-10218,Female,0,Yes,Yes,46,Month-to-month,Credit card,Fiber optic,No internet service,No,Yes,24.31,1068.18,No
CUST-10219,Male,0,Yes,No,29,Two year,Electronic check,Fiber optic,Yes,No internet service,No,99.07,2808.6,No
CUST-10220,Male,0,No,No,38,Two year,Electronic check,DSL,Yes,Yes,No,48.15,1847.65,No
CUST-10221,Male,1,No,No,17,Month-to-month,Credit card,DSL,No,No internet service,No,88.83,1457.31,Yes
CUST-10222,Female,0,Yes,No,10,Month-to-month,Electronic check,No,No internet service,No,Yes,69.84,652.48,Yes
CUST-10223,Female,0,No,No,0,One year,Electronic check,No,No,Yes,Yes,31.17,20.0,Yes
CUST-10224,Female,1,No,No,7,Month-to-month,Bank transfer,No,No,No internet service,Yes,54.7,415.14,No
CUST-10225,Female,0,No,Yes,17,Month-to-month,Electronic check,No,No,Yes,Yes,38.19,616.44,No
CUST-10226,Male,0,Yes,No,26,One year,Credit card,DSL,No,No,Yes,24.05,600.13,No
CUST-10227,Female,1,Yes,No,6,Two year,Electronic check,Fiber optic,No,Yes,Yes,76.17,433.35,Yes
CUST-10228,Male,0,No,Yes,3,Month-to-month,Bank transfer,No,No internet service,No internet service,Yes,18.0,70.37,Yes
CUST-10229,Male,0,No,No,5,Month-to-month,Electronic check,No,Yes,No,Yes,42.12,218.88,Yes
CUST-10230,Female,0,Yes,Yes,10,One year,Electronic check,DSL,No,No,Yes,76.85,764.21,No
CUST-10231,Female,0,No,Yes,3,One year,Electronic check,Fiber optic,No,No,Yes,34.39,123.68,No
CUST-10232,Female,0,Yes,No,4,Two year,Electronic check,DSL,No,Yes,No,101.77,412.81,No
CUST-10233,Female,0,Yes,No,1,Month-to-month,Mailed check,No,No internet service,No,No,120.0,134.57,Yes
CUST-10234,Female,0,No,No,46,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,Yes,112.88,5225.79,No
CUST-10235,Female,1,No,No,5,Month-to-month,Credit card,Fiber optic,No internet service,No internet service,No,79.52,416.3,Yes
CUST-10236,Female,0,Yes,No,41,One year,Electronic check,Fiber optic,No internet service,No,No,60.35,2404.27,No
CUST-10237,Female,1,No,Yes,13,Month-to-month,Mailed check,Fiber optic,No internet service,No internet service,Yes,68.64,868.41,No
CUST-10238,Male,0,No,Yes,24,Two year,Electronic check,DSL,Yes,No,No,115.03,2661.95,No
CUST-10239,Female,0,No,No,1,Month-to-month,Mailed check,Fiber optic,No internet service,Yes,No,26.51,45.47,No
CUST-10240,Female,0,No,No,21,Two year,Mailed check,No,No internet service,No,No,18.0,365.29,No
CUST-10241,Male,0,Yes,No,8,Month-to-month,Mailed check,DSL,No,No,Yes,58.32,452.63,No
CUST-10242,Female,0,Yes,No,2,One year,Electronic check,DSL,Yes,No,No,72.3,164.38,No
CUST-10243,Male,1,Yes,Yes,57,Two year,Bank transfer,No,No,Yes,No,95.9,5703.29,No
CUST-10244,Male,0,No,No,22,Two year,Bank transfer,Fiber optic,No internet service,No,Yes,93.39,1895.15,No
